"name","pokedex_number","generation","no_in_generation","percentage_in_generation","abilities","type1","type2","weight_kg","is_legendary","Hp","attack","sp_attack","defense","sp_defense","speed","base_total","base_egg_steps","base_happiness","capture_rate","experience_growth","height_m","percentage_male","base_experience","egg_cycles","can_evolve","evolves_from","evolves_to","evolution_stages","shape","color","egg_groups"
"Bulbasaur",1,1,1,0.006622516556291391,"['Overgrow', 'Chlorophyll']","grass","poison",6.9,false,45,49,65,49,65,45,318,5120,70,"45","Medium Slow",0.7,88.1,64,20,true,\N,"['Ivysaur']",2,"Quadruped","Green","['monster','grass']"
"Ivysaur",2,1,2,0.013245033112582781,"['Overgrow', 'Chlorophyll']","grass","poison",13,false,60,62,80,63,80,60,405,5120,70,"45","Medium Slow",1,88.1,142,20,true,"Bulbasaur","['Venusaur']",2,"Quadruped","Green","['monster','grass']"
"Venusaur",3,1,3,0.019867549668874173,"['Overgrow', 'Chlorophyll']","grass","poison",100,false,80,82,100,83,100,80,525,5120,70,"45","Medium Slow",2,88.1,236,20,false,"Ivysaur","[]",2,"Quadruped","Green","['monster','grass']"
"Charmander",4,1,4,0.026490066225165563,"['Blaze', 'Solar Power']","fire",\N,8.5,false,39,52,60,43,50,65,309,5120,70,"45","Medium Slow",0.6,88.1,62,20,true,\N,"['Charmeleon']",2,"Upright","Red","['monster','dragon']"
"Charmeleon",5,1,5,0.033112582781456956,"['Blaze', 'Solar Power']","fire",\N,19,false,58,64,80,58,65,80,405,5120,70,"45","Medium Slow",1.1,88.1,142,20,true,"Charmander","['Charizard']",2,"Upright","Red","['monster','dragon']"
"Charizard",6,1,6,0.039735099337748346,"['Blaze', 'Solar Power']","fire","flying",90.5,false,78,84,109,78,85,100,534,5120,70,"45","Medium Slow",1.7,88.1,240,20,false,"Charmeleon","[]",2,"Upright","Red","['monster','dragon']"
"Squirtle",7,1,7,0.046357615894039736,"['Torrent', 'Rain Dish']","water",\N,9,false,44,48,50,65,64,43,314,5120,70,"45","Medium Slow",0.5,88.1,63,20,true,\N,"['Wartortle']",2,"Upright","Blue","['monster','water 1']"
"Wartortle",8,1,8,0.052980132450331126,"['Torrent', 'Rain Dish']","water",\N,22.5,false,59,63,65,80,80,58,405,5120,70,"45","Medium Slow",1,88.1,142,20,true,"Squirtle","['Blastoise']",2,"Upright","Blue","['monster','water 1']"
"Blastoise",9,1,9,0.059602649006622516,"['Torrent', 'Rain Dish']","water",\N,85.5,false,79,83,85,100,105,78,530,5120,70,"45","Medium Slow",1.6,88.1,239,20,false,"Wartortle","[]",2,"Upright","Blue","['monster','water 1']"
"Caterpie",10,1,10,0.06622516556291391,"['Shield Dust', 'Run Away']","bug",\N,2.9,false,45,30,20,35,20,45,195,3840,70,"255","Medium Fast",0.3,50,39,15,true,\N,"['Metapod']",2,"Armor","Green","['bug']"
"Metapod",11,1,11,0.0728476821192053,"['Shed Skin']","bug",\N,9.9,false,50,20,25,55,25,30,205,3840,70,"120","Medium Fast",0.7,50,72,15,true,"Caterpie","['Butterfree']",2,"Squiggle","Green","['bug']"
"Butterfree",12,1,12,0.07947019867549669,"['Compoundeyes', 'Tinted Lens']","bug","flying",32,false,60,45,90,50,80,70,395,3840,70,"45","Medium Fast",1.1,50,178,15,false,"Metapod","[]",2,"Bug-Wings","White","['bug']"
"Weedle",13,1,13,0.08609271523178808,"['Shield Dust', 'Run Away']","bug","poison",3.2,false,40,35,20,30,20,50,195,3840,70,"255","Medium Fast",0.3,50,39,15,true,\N,"['Kakuna']",2,"Armor","Brown","['bug']"
"Kakuna",14,1,14,0.09271523178807947,"['Shed Skin']","bug","poison",10,false,45,25,25,50,25,35,205,3840,70,"120","Medium Fast",0.6,50,72,15,true,"Weedle","['Beedrill']",2,"Squiggle","Yellow","['bug']"
"Beedrill",15,1,15,0.09933774834437085,"['Swarm', 'Sniper']","bug","poison",29.5,false,65,90,45,40,80,75,395,3840,70,"45","Medium Fast",1,50,178,15,false,"Kakuna","[]",2,"Bug-Wings","Yellow","['bug']"
"Pidgey",16,1,16,0.10596026490066225,"['Keen Eye', 'Tangled Feet', 'Big Pecks']","normal","flying",1.8,false,40,45,35,40,35,56,251,3840,70,"255","Medium Slow",0.3,50,50,15,true,\N,"['Pidgeotto']",2,"Wings","Brown","['flying']"
"Pidgeotto",17,1,17,0.11258278145695365,"['Keen Eye', 'Tangled Feet', 'Big Pecks']","normal","flying",30,false,63,60,50,55,50,71,349,3840,70,"120","Medium Slow",1.1,50,122,15,true,"Pidgey","['Pidgeot']",2,"Wings","Brown","['flying']"
"Pidgeot",18,1,18,0.11920529801324503,"['Keen Eye', 'Tangled Feet', 'Big Pecks']","normal","flying",39.5,false,83,80,70,75,70,101,479,3840,70,"45","Medium Slow",1.5,50,216,15,false,"Pidgeotto","[]",2,"Wings","Brown","['flying']"
"Rattata",19,1,19,0.12582781456953643,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']","normal","dark",\N,false,30,56,25,35,35,72,253,3840,70,"255","Medium Fast",\N,50,51,15,true,\N,"['Raticate']",1,"Quadruped","Purple","['field']"
"Raticate",20,1,20,0.13245033112582782,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']","normal","dark",\N,false,55,81,50,60,70,97,413,3840,70,"127","Medium Fast",\N,50,145,15,false,"Rattata","[]",1,"Quadruped","Brown","['field']"
"Spearow",21,1,21,0.1390728476821192,"['Keen Eye', 'Sniper']","normal","flying",2,false,40,60,31,30,31,70,262,3840,70,"255","Medium Fast",0.3,50,52,15,true,\N,"['Fearow']",1,"Wings","Brown","['flying']"
"Fearow",22,1,22,0.1456953642384106,"['Keen Eye', 'Sniper']","normal","flying",38,false,65,90,61,65,61,100,442,3840,70,"90","Medium Fast",1.2,50,155,15,false,"Spearow","[]",1,"Wings","Brown","['flying']"
"Ekans",23,1,23,0.152317880794702,"['Intimidate', 'Shed Skin', 'Unnerve']","poison",\N,6.9,false,35,60,40,44,54,55,288,5120,70,"255","Medium Fast",2,50,58,20,true,\N,"['Arbok']",1,"Squiggle","Purple","['field','dragon']"
"Arbok",24,1,24,0.15894039735099338,"['Intimidate', 'Shed Skin', 'Unnerve']","poison",\N,65,false,60,95,65,69,79,80,448,5120,70,"90","Medium Fast",3.5,50,157,20,false,"Ekans","[]",1,"Squiggle","Purple","['field','dragon']"
"Pikachu",25,1,25,0.16556291390728478,"['Static', 'Lightningrod']","electric",\N,6,false,35,55,50,40,50,90,320,2560,70,"190","Medium Fast",0.4,50,112,10,true,"Pichu","['Raichu']",2,"Quadruped","Yellow","['field','fairy']"
"Raichu",26,1,26,0.17218543046357615,"['Static', 'Lightningrod', 'Surge Surfer']","electric","electric",\N,false,60,90,90,55,80,110,485,2560,70,"75","Medium Fast",\N,50,218,10,false,"Pikachu","[]",2,"Upright","Yellow","['field','fairy']"
"Sandshrew",27,1,27,0.17880794701986755,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']","ground","ice",\N,false,50,75,20,85,30,40,300,5120,70,"255","Medium Fast",\N,50,60,20,true,\N,"['Sandslash']",1,"Upright","Yellow","['field']"
"Sandslash",28,1,28,0.18543046357615894,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']","ground","ice",\N,false,75,100,45,110,55,65,450,5120,70,"90","Medium Fast",\N,50,158,20,false,"Sandshrew","[]",1,"Upright","Yellow","['field']"
"Nidoran F",29,1,29,0.19205298013245034,"['Poison Point', 'Rivalry', 'Hustle']","poison",\N,7,false,55,47,40,52,40,41,275,5120,70,"235","Medium Slow",0.4,0,55,20,false,\N,"['Nidorina']",2,"Quadruped","Blue","['monster','field']"
"Nidorina",30,1,30,0.1986754966887417,"['Poison Point', 'Rivalry', 'Hustle']","poison",\N,20,false,70,62,55,67,55,56,365,5120,70,"120","Medium Slow",0.8,0,128,20,true,"Nidoran F","['Nidoqueen']",2,"Quadruped","Blue","['undiscovered']"
"Nidoqueen",31,1,31,0.2052980132450331,"['Poison Point', 'Rivalry', 'Sheer Force']","poison","ground",60,false,90,92,75,87,85,76,505,5120,70,"45","Medium Slow",1.3,0,227,20,false,"Nidorina","[]",2,"Upright","Blue","['undiscovered']"
